keyword,count
brasil,25
deputada,21
banco,21
milhões,20
pessoas,19
pagamento,19
benefício,19
estados,18
informações,18
declaração,18
lula,17
mulher,17
mujica,16
paulo,15
meio,14
fabiana,14
segurança,13
cada,13
social,13
bolsonaro,13
comissão,13
inss,13
bolsa,13
será,12
caso,12
central,12
desde,12
conselho,11
família,11
forma,11
master,11
cpmi,11
seguro,11
viana,11
dados,11
senador,10
valor,10
assembleia,10
teve,10
beneficiários,10
mercado,10
proteção,10
março,10
regra,10
estado,9
unidos,9
alta,9
legislativa,9
ministério,9
financeiro,9
mato,9
contribuintes,9
contas,9
renda,9
defeso,9
conta,9
américa,8
passado,8
desenvolvimento,8
maior,8
acesso,8
educação,8
causa,8
título,8
porque,8
psol,8
blackface,8
nome,8
negra,8
seis,8
dois,8
vorcaro,8
grosso,8
sistema,8
programa,8
acima,8
paga,8
famílias,8
período,8
petróleo,8
política,7
outros,7
enquanto,7
onde,7
polícia,7
universidade,7
valores,7
maio,7
erika,7
quarta,7
estadual,7
dinheiro,7
agência,7
estou,7
carlos,7
imposto,7
restituição,7
apostas,7
lote,7
mínimo,7
municípios,7
desta,6
segunda,6
união,6
parlamentares,6
terá,6
atuação,6
mundo,6
plenário,6
gente,6
total,6
quando,6
cargo,6
deste,6
novo,6
trabalho,6
formação,6
neto,6
pesca,6
serviços,6
grande,6
problemas,6
entrega,6
uruguai,6
muito,6
tiveram,6
ética,6
receber,6
hilton,6
alesp,6
requerimentos,6
quebra,6
sigilos,6
medida,6
instituição,6
igreja,6
caixa,6
médio,6
empresas,6
serviço,6
global,6
diário,5
oficial,5
parlamentar,5
membros,5
grupo,5
recebeu,5
silva,5
latina,5
possível,5
outro,5
tudo,5
seja,5
esses,5
combustíveis,5
recursos,5
presença,5
cerca,5
guerra,5
sexta,5
crime,5
janeiro,5
pública,5
gestão,5
cerimônia,5
campo,5
tarde,5
pepe,5
diante,5
universidades,5
junho,5
preto,5
siga,5
canal,5
whatsapp,5
político,5
pedido,5
crimes,5
racismo,5
fora,5
usar,5
outras,5
sendo,5
fundos,5
bancário,5
fiscal,5
daniel,5
empresa,5
receita,5
econômica,5
escândalo,5
benefícios,5
direito,5
risco,5
número,5
assistência,5
parcelas,5
cidades,5
pesquisa,5
postos,5
